,B.IPE_open,B.IPE_high,B.IPE_low,B.IPE_close,B.IPE_volume
2023-02-10,84.22,86.9,83.93,86.52,297344.0
2023-02-13,86.51,86.95,85.1,85.78,207621.0
2023-02-14,85.83,86.42,84.13,85.25,231627.0
2023-02-15,85.2,85.85,83.88,85.28,245984.0
2023-02-16,85.27,86.21,84.6,84.82,197021.0
2023-02-17,84.6,84.87,81.8,83.15,303660.0
2023-02-20,83.15,84.3,82.73,83.81,143850.0
2023-02-21,83.86,84.2,82.56,82.73,231628.0
2023-02-22,82.78,83.25,80.43,80.47,253144.0
2023-02-23,80.31,82.46,80.25,82.17,293332.0
2023-02-24,82.33,83.09,80.75,82.85,289763.0
2023-02-27,82.85,83.25,81.4,82.06,235519.0
2023-02-28,82.0,83.99,81.84,83.11,241388.0
2023-03-01,83.05,84.49,82.61,84.43,242656.0
2023-03-02,84.31,85.1,83.83,84.35,214215.0
2023-03-03,84.61,86.0,82.36,86.0,312895.0
2023-03-06,85.83,86.35,84.34,86.25,244340.0
2023-03-07,86.23,86.75,82.83,83.08,295188.0
2023-03-08,83.03,83.59,82.06,82.52,297087.0
2023-03-09,82.55,84.0,81.42,81.56,282564.0
2023-03-10,81.47,83.11,80.73,82.64,369281.0
2023-03-13,82.6,83.48,78.34,80.74,467281.0
2023-03-14,80.54,80.92,76.89,77.61,357862.0
2023-03-15,77.82,78.73,71.67,74.27,547561.0
2023-03-16,73.85,75.12,71.49,74.26,306202.0
2023-03-17,74.3,75.59,71.38,72.52,477369.0
2023-03-20,72.97,73.65,70.06,73.56,348711.0
2023-03-21,73.44,75.12,72.62,74.78,297897.0
2023-03-22,74.9,76.79,74.26,75.47,244690.0
2023-03-23,75.58,77.06,74.67,75.15,262603.0
2023-03-24,75.1,75.89,72.35,74.61,320234.0
2023-03-27,74.62,78.0,74.39,77.76,335759.0
2023-03-28,77.83,78.7,77.09,78.42,359291.0
2023-03-29,78.47,79.0,77.31,77.53,346631.0
2023-03-30,77.48,78.85,77.18,78.56,306983.0
2023-03-31,78.47,79.95,77.84,79.93,329387.0
2023-04-03,86.0,86.44,83.5,84.78,478307.0
2023-04-04,84.89,86.04,83.82,85.26,308533.0
2023-04-06,84.89,85.45,84.05,84.94,259617.0
2023-04-07,,,,84.94,
2023-04-10,85.1,85.66,84.09,84.31,140529.0
2023-04-11,84.24,85.67,83.75,85.62,262666.0
2023-04-12,85.59,87.49,85.39,87.23,347797.0
2023-04-13,87.19,87.47,86.05,86.31,291944.0
2023-04-14,86.18,86.87,85.53,86.63,262578.0
2023-04-17,86.43,86.52,84.34,84.83,261810.0
2023-04-18,84.74,85.41,83.81,84.87,315698.0
2023-04-19,84.9,85.15,82.39,82.88,333215.0
2023-04-20,82.75,82.92,80.77,80.86,302902.0
