指标名称,中国:全社会用电量:第一产业:当月值,中国:全社会用电量:第三产业:当月值,中国:全社会用电量:第二产业:当月值,中国:全社会用电量:当月值,中国:发电新增设备容量:太阳能:累计值,中国:规模以上工业增加值:电力、热力的生产和供应业:当月同比,中国:用电量:电力、燃气及水的生产和供应业:当月值,中国:产成品存货:电力、热力生产和供应业,中国:产成品存货:电力、热力生产和供应业:同比,中国:存货:电力、热力生产和供应业:同比,中国:消费量:动力煤:电力行业:当月值
2018-12-31,553318.0,9105907.0,4.5509011E7,6.2502377E7,4473.0,8.3,1.1669932E7,443000.0,0.0,13.4,19211.0
2019-01-31,582044.0,1.0624726E7,4.1170901E7,6.1718207E7,,,8000897.0,,,,17042.0
2019-02-28,521432.0,9317889.0,2.9419064E7,4.8911806E7,349.0,,3565163.0,309000.0,-8.6,5.5,15204.0
2019-03-31,496172.0,8688237.0,3.8838314E7,5.7318618E7,495.0,7.2,9284382.0,267000.0,-7.6,4.2,16250.0
2019-04-30,571682.0,8636752.0,3.8518711E7,5.533659E7,550.0,9.1,5578852.0,279000.0,-6.7,6.1,15115.0
2019-05-31,597826.0,8583583.0,4.0636684E7,5.6648443E7,802.0,5.0,7499687.0,309000.0,2.3,9.2,15606.0
2019-06-30,673951.0,9641614.0,4.2377261E7,5.987E7,1164.0,5.6,8274012.0,332000.0,0.3,8.6,16509.0
2019-07-31,763463.0,1.1099135E7,4.6262315E7,6.6716543E7,1346.0,6.5,1.1434291E7,353000.0,0.9,7.4,18821.0
2019-08-31,835577.0,1.220531E7,4.3702833E7,6.7704402E7,1495.0,5.1,8642003.0,306000.0,2.0,7.5,19484.0
2019-09-30,766007.0,1.1060014E7,3.7741207E7,6.0195774E7,1612.0,5.4,4135585.0,440000.0,43.8,5.3,17034.0
2019-10-31,659095.0,9471288.0,4.0078924E7,5.7903158E7,1714.0,6.7,7783349.0,450000.0,33.9,0.2,16495.0
2019-11-30,602935.0,9002665.0,4.2558583E7,5.9121313E7,1796.0,6.8,8423232.0,423000.0,2.2,0.6,17781.0
